Id,Airport_Name
151347,Nogaro
150306,Buno-Bonnevaux
161097,Santa Cilia de Jaca
151370,Oloron-Herrere
150292,Bordeaux-Léognan Saucats
150429,Château Arnoux-Saint Auban
151232,Mont Dauphin-Saint Crépin
151417,Puimoisson
150442,Chauvigny
156934,Terlet
151490,Riberac Tourette
151722,Tarbes-Laloubère
151738,Troyes-Barberey
151235,La Llagonne-La Quillane
141642,Tocumwal
150804,Fayence
150137,Selänpää
150289,Blois-Le Breuil
152630,Lachen-Speyerdorf
156649,Bitterwasser
151805,Vinon
141284,Narromine
151046,Lyon-Corbas
151214,Mantes-Chérence
152441,Hahnweide
160180,Prievidza
150270,Belfort-Chaux
151409,Pont Saint Vincent
150781,Epinal-Dogneville
150950,Issoudun-Le Fay
151583,Sisteron-Vaumeilh
150846,Gap-Tallard
150948,Issoire-Le Broc
151498,Romorantin-Pruniers
150468,Cosne Sur Loire
150418,Châlons-Ecury sur Coole
151542,Saint Girons-Antichan
150470,Coulommiers
150811,Fontenay le Comte
150181,Angers-Macé
150400,Cambrai-Niergnies
150849,Graulhet-Montdragon
150845,Gaillac Lisle Sur Tarn
151252,Moret-Episy
151216,Marmande-Virazeil
150258,Bagnères de Luchon
150853,Grenoble-Le Versoud
150462,Condom-Valence sur Baïse
150260,Bailleau-Armenonville
151728,Toulouse-Bourg Saint Bernard
161103,Santo Tomé del Puerto
150283,Beynes-Thiverval
150264,Barcelonnette-Saint Pons
150460,Colmar-Houssen
152634,Landau-Ebenberg
151592,Strasbourg-Neuhof
151410,Pont sur Yonne
140980,Lake Keepit
150422,Chambéry-Challes les Eaux
613333,La Motte du Caire
151802,Villefranche-Tarare
160868,La Nava-Corral De Ayllon
151017,Le Mazet de Romanin
151566,Salon-Eyguières
150207,Avignon-Pujaut
149556,Tabor
150901,Haguenau
151549,Saint Martin de Londres
151581,Serres La Bâtie
151571,Sarreguemines-Neunkirch
151407,Poitiers-Briard
156724,Kiripotib
151374,Orleans St Denis
158859,Zar K/Zywca
151031,Lille-Marcq en Baroeul
150158,Abbeville
142187,Goetsenhoven
151254,Moulins-Montbeugny
151558,Saint-Sulpice des Landes
151405,Ploërmel-Loyat
189992,Habère-Poche
151733,Tours-Le Louroux
151786,Valence-Chabeuil
151236,Montagne Noire
150993,La Roche sur Yon-Les Ajoncs
150409,Castelsarrasin-Moissac
156791,Pokweni
150199,Auch-Gers
149956,Ridali
150428,Chartres-Métropole
151014,Le Havre-Saint Romain
151496,Romans-Saint Paul
151541,Saint Gaudens-Montrejeau
189927,Garray Sorianuma
151387,Pamiers Les Pujols
150405,Carpentras
153817,Szeged
150176,Amiens-Glisy
151002,Langres-Rolampont
150960,Jointville Mussey
150296,Bourg-Ceyzériat
150803,Falaise-Monts d'Eraines
150745,Dijon-Darois
151491,Rion des Landes
151218,Maubeuge-Elesmes
151008,Laval-Entrammes
150188,Arcachon-La Teste du Buch
150298,Bourges
152263,Deckenpfronn
150196,Aubenasson
150464,Compiègne-Margny
160530,New Tempe Bloemf
151585,Soissons Courmelles
151564,Saintes-Thénac
151396,Périgueux-Bassillac
151009,Le Blanc
150282,Besançon-Thise
151388,Paray le Monial
151500,Rouen-Vallée de Seine
150190,Argenton sur Creuse
151225,Merville-Calonne
150192,Arras-Roclincourt
150164,Albert-Bray
151485,Reims-Prunay
151577,Sedan-Douzy
150423,Chambley
151804,Villerupt
151237,Montaigu-Saint Georges
150332,Beauvoir Fromentine
151088,La Rogerie
151016,Le Mans-Arnage
151561,Sainte Foy la Grande
150286,Biscarrosse-Parentis
150952,Itxassou
151346,Niort-Marais Poitevin
151032,Limoges-Bellegarde
151418,Puivert
151338,Narbonne
150810,Florac-Sainte Enimie
151399,Perpignan-Rivesaltes
151403,Pierrelatte
150193,Aspres sur Buech
151251,Morestel
150997,La Tour du Pin-Cessieu
151492,Roanne
150304,Brioude-Beaumont
151334,Nancy-Malzeville
