airport_id,airport_name
595,Aéro Club du Bas Armagnac
654,Centre École de VàV du Haut Béarn
713,Association Aéronautique d'Aquitaine
714,Les Ailes Angoumoises et Charentaises
716,Association Aéronautique de la Llagonne
717,Ass. Aéronautique Provence Côte d'Azur
718,Ass. Aéronautique Verdon Alpilles
719,Ass. Aéronautique du Val d'Essonne
720,Association Aéronautique du Val d'Oise
721,Association Belfortaine de Vol à Voile
724,Aéro Club Albert Mangeot
727,Aéro Club d'Issoudun
728,Flying Sisteron
729,Aéro Club Pierre Herbaud
730,Aéro Club de Sologne
731,Association Châlonnaise de Vol à Voile
764,Aéro Club de l'Ariège
861,Ass. Aéronautique de Coulommiers-Meaux
865,Ass. Sportive de Vol à Voile d'Angers
868,Association Tarnaise de Vol à Voile
871,Ass. Vélivole Aéronautique Toulousaine
873,Ass. Véli. Château Arnoux-Saint Auban
903,Centre Aéronautique de Beynes
922,Centre de Vol à Voile de l'Ubaye
923,Centre Inter Clubs Véli. Vosges Alsace
932,Centre Inst. Pratique VàV Strasbourg
954,Centre National de Vol à Voile
960,Centre de Planeurs du Sénonais
964,Centre Savoyard de Vol à Voile Alpin
971,Centre de Vol à Voile du Beaujolais
974,Centre de Vol à Voile de la Crau
975,Centre Vélivole du Val de l'Eure
976,Centre de Vol à Voile d'Haguenau
977,Club de Vol à Voile Air Inter
978,Centre VàV Montpellier Pic Saint Loup
979,Club Vol à Voile de La Motte du Caire
993,Eagles Alpine Soaring Academy
995,AC Espoir Aéronautique de Sarreguemines
1040,Groupe l'Air
1045,Grenoble Vol à Voile
1121,Les Planeurs d'Orléans
1128,Lille Planeurs
1137,LSV Pui-Freunde
1211,Planeur Club de Moulins
1221,Planeurs d'Ille-et-Vilaine
1222,Planeurs Club de Vichy
1223,Planeurs Léman Mont-Blanc
1346,Touraine Planeur
1361,Valence Planeurs
1373,Centre de VàV de la Montagne Noire
1376,Vol à Voile Yonnais
1407,AAVA Puiplaneur
1516,Planeurs Tarn et Garonne
1517,Centre Vélivole d'Auch
1520,Centre de Vol à Voile de Chartres
1525,Centre de Vol à Voile Lyonnais
1532,Vercors Vol à Voile
1533,Aéroclub Saint-Rémy Les Alpilles
1534,Planeurs Pyrénées Comminges
1535,Centre VàV Fontainebleau et sa Région
1536,Planeurs de Brocéliande
